activation,optimizer,dropout,weight_init,train_time_s,test_acc,test_f1
tanh,adam,0.0,default,17.86,0.952,0.6579
tanh,adam,0.0,xavier,17.76,0.949,0.5609
tanh,adam,0.0,kaiming,17.43,0.951,0.5684
tanh,adam,0.0,orthogonal,18.19,0.947,0.5692
tanh,adam,0.1,default,18.73,0.951,0.5924
tanh,adam,0.1,xavier,17.52,0.938,0.5611
tanh,adam,0.1,kaiming,19.46,0.946,0.5856
tanh,adam,0.1,orthogonal,16.23,0.944,0.5691
tanh,adam,0.2,default,16.29,0.951,0.5907
tanh,adam,0.2,xavier,15.92,0.949,0.6018
tanh,adam,0.2,kaiming,19.02,0.948,0.5815
tanh,adam,0.2,orthogonal,17.41,0.941,0.6133
tanh,adam,0.3,default,17.05,0.955,0.6056
tanh,adam,0.3,xavier,17.1,0.946,0.5828
tanh,adam,0.3,kaiming,17.85,0.951,0.5984
tanh,adam,0.3,orthogonal,17.3,0.946,0.5769
tanh,rmsprop,0.0,default,17.22,0.95,0.5671
tanh,rmsprop,0.0,xavier,17.03,0.95,0.5831
tanh,rmsprop,0.0,kaiming,17.41,0.949,0.5931
tanh,rmsprop,0.0,orthogonal,18.09,0.949,0.5791
tanh,rmsprop,0.1,default,17.39,0.952,0.5833
tanh,rmsprop,0.1,xavier,17.52,0.945,0.5478
tanh,rmsprop,0.1,kaiming,16.37,0.949,0.5741
tanh,rmsprop,0.1,orthogonal,19.26,0.946,0.5491
tanh,rmsprop,0.2,default,19.45,0.95,0.5725
tanh,rmsprop,0.2,xavier,17.69,0.945,0.5424
tanh,rmsprop,0.2,kaiming,21.5,0.947,0.6435
tanh,rmsprop,0.2,orthogonal,16.45,0.95,0.5872
tanh,rmsprop,0.3,default,15.63,0.949,0.5707
tanh,rmsprop,0.3,xavier,16.17,0.942,0.5189
tanh,rmsprop,0.3,kaiming,16.14,0.948,0.568
tanh,rmsprop,0.3,orthogonal,16.72,0.942,0.5095
